Date,daylogret
1986-01-02,0.0007686026100235242
1986-01-03,0.0008986040107062636
1986-01-06,-0.0005499696523476512
1986-01-07,-0.000863743499969011
1986-01-08,-0.0010761253972299207
1986-01-09,-0.002441723252171389
1986-01-10,0.0014847912102138032
1986-01-13,-0.0009845134660910245
1986-01-14,-0.001456516747167198
1986-01-15,0.0020442086917771794
1986-01-16,0.000396821521480996
1986-01-17,0.00014847420020285741
1986-01-20,-0.0017636683890298224
1986-01-21,-2.008290612062042e-05
1986-01-22,0.0012781985797636554
1986-01-23,-0.0008072903746489329
1986-01-24,0.0009165075113222309
1986-01-27,0.0012833848445466813
1986-01-28,0.0020738470702793273
1986-01-29,-0.0005127221117576097
1986-01-30,0.0007827103232221839
1986-01-31,0.0005669561302358104
1986-02-03,-0.0009528483288873273
1986-02-04,0.0006264513581249167
1986-02-05,-0.0007231169680965247
1986-02-06,0.00027047410354193445
1986-02-07,0.0017339488298493612
1986-02-10,0.0015592833139700586
1986-02-11,-0.0007157125499594805
1986-02-12,0.0015111860144691198
1986-02-13,0.0003260289309696955
1986-02-14,0.0004086201081507648
1986-02-17,-0.00024128625369503198
1986-02-18,0.0015322895467409533
1986-02-19,-4.5869714103349164e-05
1986-02-20,6.420822860860243e-05
1986-02-21,0.002352091196343492
1986-02-24,0.0013414508369950153
1986-02-25,-0.00047227292362908715
1986-02-26,0.000614477882205294
1986-02-27,0.0013162707990481818
1986-02-28,-0.0004930093060222015
1986-03-03,-0.000796612076593373
1986-03-04,0.0012368977788225668
1986-03-05,0.0017624546725052517
1986-03-06,-0.0002601163441744554
1986-03-07,0.0006665046008121417
1986-03-10,-0.00013819627604512907
1986-03-11,0.0021326555989051674
1986-03-12,0.002303572254717368
1986-03-13,-0.000651246881896847
1986-03-14,0.000642922129394022
1986-03-17,-0.00014998579792263183
1986-03-18,0.0018038635393322132
1986-03-19,0.0012580047303523524
1986-03-20,0.002436930869874662
1986-03-21,-0.00014337304296460531
1986-03-24,-0.0019608689102954798
1986-03-25,-0.0024643846956398045
1986-03-26,0.001651303194336109
1986-03-27,0.0012094714887846472
1986-04-01,0.0012212556130027253
