Date,pt.d.all
1985-12-31,7.253187239691753
1986-01-02,7.258764201294243
1986-01-03,7.265289887483069
1986-01-06,7.261295297081879
1986-01-07,7.255026108342943
1986-01-08,7.2472229898102345
1986-01-09,7.229548863366206
1986-01-10,7.240291207067544
1986-01-13,7.233166550611351
1986-01-14,7.22263899103988
1986-01-15,7.23741867367402
1986-01-16,7.240291207067544
1986-01-17,7.241366283322318
1986-01-20,7.228606170126733
1986-01-21,7.228461000165358
1986-01-22,7.237706316165793
1986-01-23,7.231865743358522
1986-01-24,7.238496840894365
1986-01-27,7.247792581767846
1986-01-28,7.262838991763496
1986-01-29,7.259116128097101
1986-01-30,7.264800137404226
1986-01-31,7.268920128193722
1986-02-03,7.261997248547693
1986-02-04,7.266547961838181
1986-02-05,7.261295297081879
1986-02-06,7.263259555046392
1986-02-07,7.275864600546533
1986-02-10,7.287218584551301
1986-02-11,7.282004896729499
1986-02-12,7.293017679772782
1986-02-13,7.295395802177749
1986-02-14,7.298377456739955
1986-02-17,7.296616671020603
1986-02-18,7.307805770753212
1986-02-19,7.30747057147959
1986-02-20,7.30793978628416
1986-02-21,7.325148957955575
1986-02-24,7.334981878871814
1986-02-25,7.331518583409822
1986-02-26,7.336025023834492
1986-02-27,7.345687577227803
1986-02-28,7.342066977461122
1986-03-03,7.336220527225326
1986-03-04,7.345300296315907
1986-03-05,7.358257470005745
1986-03-06,7.356343715883305
1986-03-07,7.361248387126505
1986-03-10,7.360231160302459
1986-03-11,7.375944748375768
1986-03-12,7.392955355109155
1986-03-13,7.388142283405219
1986-03-14,7.392893810841731
1986-03-17,7.391785064914704
1986-03-18,7.405130869870514
1986-03-19,7.414452421582425
1986-03-20,7.432542963318846
1986-03-21,7.431477413404622
1986-03-24,7.416919538094255
1986-03-25,7.398663898794
1986-03-26,7.410891429025258
1986-03-27,7.419860113505931
1986-04-01,7.428927194802272
1986-04-02,7.440087973369315
1986-04-03,7.448683232350516
1986-04-04,7.444073166949594
1986-04-07,7.431595839825622
1986-04-08,7.423986238267736
1986-04-09,7.413970290190444
1986-04-10,7.4326613358433855
1986-04-11,7.434906890935672
1986-04-14,7.428392595626707
1986-04-15,7.411435464094221
1986-04-16,7.415776975415394
1986-04-17,7.427084657763747
1986-04-18,7.426668083869846
1986-04-21,7.419380582918692
1986-04-22,7.417700485998141
1986-04-23,7.397990335225751
1986-04-24,7.387399785264553
1986-04-25,7.391785064914704
1986-04-28,7.3955988563341775
1986-04-29,7.4123415074383505
1986-04-30,7.414874040816802
1986-05-01,7.402512479683347
1986-05-02,7.410044571725841
1986-05-06,7.400131729237203
1986-05-07,7.38405155268782
1986-05-08,7.379382574109936
1986-05-09,7.37875839331741
1986-05-12,7.380131122818199
1986-05-13,7.392216423396343
1986-05-14,7.374190078040005
1986-05-15,7.362454865979788
1986-05-16,7.355577218770163
1986-05-19,7.3608034583087445
1986-05-20,7.368844321629145
1986-05-21,7.37268356569752
1986-05-22,7.377008657377652
1986-05-23,7.388575215756356
1986-05-27,7.385292940737692
1986-05-28,7.39314004031795
1986-05-29,7.3833681469923835
1986-05-30,7.379507409226255
1986-06-02,7.375569012154837
1986-06-03,7.379132933305342
1986-06-04,7.378633540883983
1986-06-05,7.385603047111356
1986-06-06,7.385168901549025
1986-06-09,7.38062976810451
1986-06-10,7.369222592595187
1986-06-11,7.359722236278225
1986-06-12,7.359976769497175
1986-06-13,7.36669797629695
1986-06-16,7.373750871510264
1986-06-17,7.3810659644021905
1986-06-18,7.389563953677635
1986-06-19,7.396089849930967
1986-06-20,7.400742714794081
1986-06-23,7.3919083614211045
1986-06-24,7.393201569433693
1986-06-25,7.395967142860009
1986-06-26,7.400925967509407
1986-06-27,7.401902574800517
1986-06-30,7.4084093770230215
1986-07-01,7.415054722371933
1986-07-02,7.412582921471367
1986-07-03,7.412281071117577
1986-07-04,7.408166879201039
1986-07-07,7.396948602621014
1986-07-08,7.377133712833954
1986-07-09,7.386842511840103
1986-07-10,7.3943086717557325
1986-07-11,7.3941242773252425
1986-07-14,7.376070013365074
1986-07-15,7.373374309910049
1986-07-16,7.376070013365074
1986-07-17,7.3835546111656685
1986-07-18,7.367961081156788
1986-07-21,7.352569265858144
1986-07-22,7.351928116877211
1986-07-23,7.360294825531452
1986-07-24,7.344525205369883
1986-07-25,7.3432968862603785
1986-07-28,7.34562305395491
1986-07-29,7.350130756796638
1986-07-30,7.3564714602588
1986-07-31,7.351222393554185
1986-08-01,7.35359431249258
1986-08-04,7.343038071297375
1986-08-05,7.3534662000248225
1986-08-06,7.339797417789924
1986-08-07,7.33295766873128
1986-08-08,7.330863790280106
1986-08-11,7.341354257983103
1986-08-12,7.35128655656052
1986-08-13,7.365812837209472
1986-08-14,7.370356547716793
1986-08-15,7.3789457189481285
1986-08-18,7.3833681469923835
1986-08-19,7.38050514911284
1986-08-20,7.38062976810451
1986-08-21,7.381999932873554
1986-08-22,7.3821865763636465
1986-08-26,7.387832963587662
1986-08-27,7.3962126168457
1986-08-28,7.400498425028816
1986-08-29,7.415295482363313
1986-09-01,7.4222541773038815
1986-09-02,7.4192607009298515
1986-09-03,7.4209979500375844
1986-09-04,7.426727656943067
1986-09-05,7.429402170361266
1986-09-08,7.418540887299083
1986-09-09,7.422612778450994
1986-09-10,7.416679095458531
1986-09-11,7.400315093941235
1986-09-12,7.383119499292757
1986-09-15,7.395291834757354
1986-09-16,7.375694247765004
1986-09-17,7.384237889485829
1986-09-18,7.386594726641154
1986-09-19,7.378008892238055
1986-09-22,7.388389685486463
1986-09-23,7.383989457978509
1986-09-24,7.379881668835284
1986-09-25,7.362581832120165
1986-09-26,7.357938765214329
1986-09-29,7.339018048188388
1986-09-30,7.349745193157251
1986-10-01,7.3641036283420345
1986-10-02,7.3608034583087445
1986-10-03,7.352953820592938
1986-10-06,7.364483696490546
1986-10-07,7.372934821527534
1986-10-08,7.370104720043075
1986-10-09,7.383119499292757
1986-10-10,7.377383853162303
1986-10-13,7.385417040254458
1986-10-14,7.373060387446318
1986-10-15,7.382435456111774
1986-10-16,7.380879035564116
1986-10-17,7.383989457978509
1986-10-20,7.371615042761732
